food_name,description_phase1,description_phase2,description_phase3,description_phase4,description_phase5
もち,×,×,×,×,×
白玉団子,×,×,×,×,×
乾いたナッツ・豆類,×,×,×,×,×
ミニトマト,×,×,×,×,×
ブドウ,×,×,×,×,×
サクランボ,×,×,×,×,×
固形チーズ,×,×,×,×,×
うずらの卵,×,×,×,×,×
アメ類・ラムネ,×,×,×,×,×
イカ,×,×,×,×,×
こんにゃく,「糸こんにゃく」で代用,「糸こんにゃく」で代用,「糸こんにゃく」で代用,「糸こんにゃく」で代用,「糸こんにゃく」で代用
葉野菜,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
きのこ,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
わかめ,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
ソーセージ,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
薄切り肉,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
ゆでたまご,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
ひき肉,なめらかにすりつぶした状態にする,舌でつぶせる固さにする,歯ぐきでつぶせる固さにする,歯ぐきで噛める固さにする,大人よりは柔らかめの固さ
リンゴ,柔らかくなるまで加熱する,柔らかくなるまで加熱する,柔らかくなるまで加熱する,柔らかくなるまで加熱する,大人よりは柔らかめの固さ
なし,柔らかくなるまで加熱する,柔らかくなるまで加熱する,柔らかくなるまで加熱する,柔らかくなるまで加熱する,大人よりは柔らかめの固さ
えび,×,×,×,×,大人よりは柔らかめの固さ
貝類,×,×,×,×,大人よりは柔らかめの固さ
おにぎりのり,×,×,×,×,大人よりは柔らかめの固さ
